"filename", "language", "Rust", "PowerShell", "Infrastructure-As-Code", "Skill", "Python", "JavaScript", "PHP", "Ignore", "MS SQL", "TypeScript", "PostCSS", "XML", "JSON Lines", "JSON with Comments", "Log", "comment", "blank", "total"
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-audit\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-audit\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-data-integrations\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-data-integrations\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-debug-repair\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-debug-repair\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-engineer\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-engineer\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-govern\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-govern\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-knowledge-memory\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-knowledge-memory\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-learn\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-learn\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-orchestrate\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-orchestrate\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-plan\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-plan\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-query-skills\SKILL.md", "Skill", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-query-skills\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-release\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-release\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-research\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-research\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-runtime-environment\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-runtime-environment\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-security\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-security\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-skill\SKILL.md", "Skill", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Ben\Downloads\bootstrap_project\Pacify-X\.agents\skills\px-skill\agents\openai.yaml", "Infrastructure-As-Code", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
